,entity_1,entity_2
93515,sale,title
93516,Ghost,Domain Decl
93517,figure,inclusion
93518,Show Text,Object
93519,Constraint Element,Not
93520,Boolean Value,Literal
93521,Class Decl,Source
93522,Region,Located Element
93523,Unknow Class,Class
93524,economic_value,Right Bank
93525,Income,Tax_ Payer
93526,Not,Unary Op
93527,Entity,Relation Ending
93528,Func Definition,Func Call
93529,Group,Team
93530,Message,Selection
93531,Action,Block Sender
93532,Application Event,Application Element
93533,Container,Function
93534,State Attribute,State Change
93535,Rule Name,Extension Rule
93536,Home Page,Perspective
93537,xyy,characteristic
93538,Activities,Events
93539,Action,Port Read
93540,Plugin,Processeable
93541,Intersection,Parallel Operation
93542,Database Model,Data Type
93543,Type Notation,Type Notation
93544,Tone,Voice Name
93545,Action Parameter,Unit
93546,Duration Interval,Interval
93547,Type,Node Spec
93548,Function,Named Expression
93549,Category,Channel
93550,Element,Flow
93551,Element Type,Object
93552,Tracciato Permanente,Classe Logica
93553,House,Container
93554,pumpkinseed,mechanist
93555,Resource Holon,Product Holon
93556,Measure,Typed Measure
93557,Expression,Expression_ Equal
93558,Monitor,Var Type
93559,scene,synaptomys
93560,Transition,Screen
93561,Loaded Element,Domain Model
93562,Info Zone,Secteur Geo
93563,Propuesta,Relacion
93564,Glue,Role Connecteurs
93565,Definition,Numeros
93566,Class Assertion,Named Individual
93567,Test Item,Call
93568,Attribute Def,Contained
93569,paeoniaceae,pyrus
93570,importation,faculty
93571,Bundle,Service Interface
93572,unit_of_measurement,sheet-metal work
93573,Alternative,Optional Sequence
93574,Contribution,Comment
93575,Utilised Service,Abstract Charge
93576,Basic Type,Element Type
93577,twosome,individual
93578,Expression,Expression Group
93579,Function Call,Func
93580,System,Ref System
93581,Element_ Level6,Element
93582,Repository,Named Element
93583,Additive Expression,Relational Expression
93584,Driver,Formula
93585,Conditional Body,First Time
93586,Group,Row
93587,Base Entity,Relationship
93588,Some Ref,What Ever
93589,Published Event,Tosubscribe Event
93590,Service,Service Level
93591,Inline,H3
93592,struct_declarator,constant_expression
93593,lean-to tent,fellow_member
93594,Phase,Firing
93595,Route Permission,Route
93596,Element List,File Name
93597,Do Statement,Block
93598,Iterate,Repeat Until
93599,Comment,Instruction
93600,Val Ref,Value
93601,Base Documented,Enumerations
93602,Semantics Rule,Protocol Semantics
93603,Aussage,Literal
93604,Type Container,Containers
93605,Contribution,Soft Goal
93606,Unpaid Bill,Customer
93607,Product,Business Architecture
93608,Statement,Edge Statement
93609,Flow Node,Event Node
93610,computer software,portion
93611,Subscription,Component Definition
93612,Map Element,Map
93613,Template,Robot
93614,Clock Sensor,House Mountable
93615,Matlab,Model
93616,Class,Function Definition
93617,Term Bindings,Elements
93618,Variable,Input
93619,Meronymic Relation,Substantial Universal
93620,Task,Subtask
93621,Lower Expression,Binary Expression
93622,Configuration,Setting
93623,Declaration,Variable Name
93624,Base Left,Expression
93625,Node,Workflow Map
93626,Transition,Statemachine
93627,Abstract Parameter,Named Parameter
93628,Local,Transition
93629,init_declarator_list,init_declarator_list_linha
93630,New Object,Identifier
93631,Ressource Conso,Ressource
93632,Firing,Phase
93633,Assembly Descriptor,write
93634,angstrom,ten
93635,Base Object,Layer
93636,Type,Stream
93637,Jump,Invoke Scene
93638,Package,Clasificador
93639,Service,Package Setting
93640,Operation,Conditional
93641,Const Expression,Bitstring Expression
93642,Boundary,Simple Pattern
93643,Expression,Aggregate Expression
93644,Training,Training Organization
93645,Report,Action
93646,Var Term,Term
93647,Ingredient,Categorie Ingredient
93648,Control Unit,Processor
93649,List Exp,Expression
93650,sium sisarum,hullo
93651,Factory Element,Factory
93652,Intention,Model
93653,Trigger,Literal
93654,Leaf Substatement,Description Statement
93655,Spin Element,Spin Int
93656,Attribute Type,Value Type
93657,Macro Call,Macro Definition
93658,Pattern,Theoric Pattern
93659,Named Element,Ozobot Program
93660,Sender Ports,Connections
93661,Base,Resource Group
93662,Test332,Test333
93663,Base Type,Tuple Type
93664,look,cerise
93665,Service,On Service
93666,Value,Variable
93667,Relationship,Property
93668,Connection,Single Connection
93669,Equals,Check
93670,Setter,Setter Value
93671,Expr,Init Expr
93672,Euler,Math
93673,Apperance,Website
93674,Mission,Location
93675,Base Week,Week Number
93676,Parameter,Value
93677,method_acting,waiter's assistant
93678,Att To,To
93679,Activity Group,Object
93680,Camera,Device Hardware
93681,self-organisation,Vote Content
93682,surgery,package
93683,gens,Base Lernende
93684,Design Decision,Traceability Link
93685,Expression,Negation
93686,Measure Cast,Typed Measure
93687,Publication Entry,Entry
93688,Fashion Style,Brand
93689,Integer Type,Constraint
93690,Test12,Test11
93691,Plan,Resource Available
93692,Concept,Object Type
93693,Technology Interaction,Technology Element
93694,Node Object,Object
93695,Event Action,activity
93696,Service,Service Reference
93697,Operation,Multiplicity Element
93698,Variable,Sensor Variables
93699,As Name,Asname
93700,User,Website
93701,Element,Element Group
93702,Signal,Stop
93703,fomite,coloring_material
93704,Message Signature,Message
93705,Method,Located Element
93706,Dish Component,Composition
93707,Identification,Content
93708,Wildcard,Namespace Wildcard
93709,Doc Resource,Problem
93710,Event,Spare
93711,knob,Typed Element
93712,Event,Gate
93713,Statement,Neutral Statement
93714,Event,Match
93715,Actress,Person
93716,Group Box,Box
93717,Function Kind,Workbench
93718,belongings,character
93719,matt,individual
93720,Values,Input
93721,Constant Def,Contained
93722,Rule,Project
93723,Declaration,Predicate Declaration
93724,Variable Declaration,Assignee
93725,Remove,Primitive Activity
93726,Slot,Course
93727,Action Block,activity
93728,Observers,Type
93729,Test302,Test301
93730,Canvas,Square
93731,Color Drawable,Drawable
93732,Test165,Test166
93733,Expression,Transpose Exp
93734,Operation,Native Class
93735,Struct Def,Sub Field
93736,Java Code,Package
93737,Null Expression,Value
93738,Referrer,Referred To
93739,Located Element,Condition Action
93740,Block,Statement_ Block
93741,Wires Element,Data Flow
93742,Value,Set Declarations
93743,Room Type,Reservation
93744,Action,Base Pages
93745,huff,gens
93746,Identification,Meta
93747,Observer Refinement,Singleton
93748,System Type,Type
93749,Car Parameter,Carprocess
93750,Data Assertion,Simple Pattern
93751,Condition Type,Condition
93752,mathematical_function,populace
93753,Virtual Model,Virtual Object
93754,Procedimientos,Repositorio
93755,Function Template,Sequence
93756,Storage,Manufacturing System
93757,Reducer,Partitioner
93758,Complex Name,Action
93759,Transition Ref,Transition Embedded
93760,Main Element,Sub Element
93761,theoretical_account,ankus
93762,Field,Exception Def
93763,Abstract Element,Component Type
93764,Entity,papoose
93765,Documentation,Attribute
93766,Adresse,Kontakt
93767,bacillus,nitrogen
93768,Label Style,Node Style
93769,mire,homo
93770,Const Value,Object
93771,Attribute,Data
93772,Categorie,Venue
93773,Binary Expression,Cat
93774,subdivision,argument
93775,Value Type,Named Element
93776,Entity,Description
93777,Item,Ship
93778,Method Specification,Performance Stats
93779,Resource Role,Base Element
93780,Installed Package,Src Package
93781,Or Expression,look
93782,Arrowed,Precendence
93783,argument,book
93784,Simple Component,Title Bar
93785,Tab Page,Page
93786,Event,Standardclass
93787,Person,Editor
93788,Stub,Binder
93789,Link Action,Action
93790,Window,Panel
93791,Dialog,definition
93792,Bar,Menu
93793,Arguments,In
93794,Info,Book
93795,Base Entity,Attribute
93796,Interface Operation,Interface Outfault
93797,Player,Team
93798,Role Requis,Rôle
93799,economic_value,Ident
93800,Term,Enumerate Set
93801,Observation,Field
93802,Feature,Annotatable Element
93803,Belief,Agent
93804,Pages,Pages
93805,Feature,Measure
93806,Web Wrap,Software
93807,Language,Type
93808,T1,Dsml Relation
93809,Element,Conditional Node
93810,Unary Operator,Binary Operator
93811,Params,Operation
93812,Named Elt,Parameter
93813,Dependent,From Agent
93814,Library,University
93815,chromatography_column,battlefield
93816,Variable,Variable Access
93817,System,Port
93818,Video,Decorateur Widget
93819,port_wine,end_product
93820,Condition,Path
93821,Variable Decl,Declaration
93822,Rdbms View,Rdbms Element
93823,Activity2,Named Element
93824,Container Element,Element
93825,Attribute,Request
93826,Variable Expression,Expression
93827,Orderder Visit,Movement Patterns
93828,Parameter List,Parameters
93829,Decl,Training Input
93830,communications,orontium
93831,Entry,Booklet
93832,Line Comment,Entity
93833,Row,Table_p
93834,Model Item,Item Model
93835,Frame,Call
93836,Integ,Expression
93837,Note,Chord Params
93838,Case,Switch Statement
93839,Monitorable,Motor
93840,Categorie Ingredient,Ingredient
93841,Goleiro,Jogador
93842,fundamental_interaction,component
93843,View Element,View Root
93844,Application,Class
93845,Class Type,Relation Type
93846,House Mountable,Boiler Actor
93847,Comparison,Operation
93848,Long Name,Failure Point
93849,Type,Datatype Reference
93850,ney,scabbard
93851,order cycadofilicales,characteristic
93852,Datatype,Element
93853,Clazoc,Base
93854,System Decl,Assertion Decl
93855,Message Broker,System
93856,hornist,toy
93857,Named Element,Module Instances
93858,Named Element,Restriction Column
93859,day_of_the_month,Item Type
93860,Row Layout,point
93861,Body,Right Elbow
93862,Block,Try Statement
93863,Execution Environment,Component
93864,Parameter Declaration,Parameter Value
93865,Security Scope,Security Schema
93866,Device,Node Element
93867,Configuration,Configuration_ Signature
93868,Galaxy Component,Stellar Wind
93869,File Link,Model
93870,Point,End Point
93871,Value List,Output
93872,Block Params,Block Type
93873,Project,Member
93874,Constructor,Action
93875,Feature Group,Available Feature
93876,Part,Container
93877,Cluster_chart,portion
93878,Field,Annotable
93879,Direct Relationship,Package Import
93880,Extension,Template
93881,List Statement,Datadef Statement
93882,Context,Sensor
93883,Mapping,Standard Type
93884,Tag,Video Game
93885,Project,European
93886,Metric,Metric
93887,Property,Unit
93888,Structural Element,Ring
93889,Technical Requirement,Need
93890,Nodes,Base Compare
93891,Id,Communication Media
93892,status,paterson
93893,Declaration,Affectation
93894,Resource Defn,Search Parameter
93895,Hospedagem Comunitario,Hospedagem
93896,Clonable Feature,Instance Multiplicity
93897,Requests,Base Method
93898,Resource,Acquire
93899,Graph Container,Named Element
93900,Personnage,Explorateur
93901,Rpc Substatement,Typedef Statement
93902,Annotation Value,Annotation Property
93903,Element Imported,Object
93904,Operation Sig,Call
93905,Classroom,Student
93906,Port,Direction
93907,Operation Expression,Operation
93908,Item,Post
93909,Talend Item,Recycle Bin
93910,Or Trigger,Trigger
93911,Keyword Field,Field
93912,Choice,Id
93913,Website,Deletion
93914,Route,Switch Position
93915,Artifact Parameter,Referentiable
93916,Championship,Country
93917,Csrc,State
93918,Complex Type,Extensible Type
93919,Snapshot,Control Program
93920,connexion,entrance
93921,Year,Field
93922,File Port,Match Model
93923,Database Performance,Processing Time
93924,Label,Jump Stmt
93925,Refined State,State
93926,Asociacion,Clase Asociacion
93927,Payment Info,Contract
93928,Learning Rule,Hidden
93929,Regular Trip,Trip
93930,Namespace,Package Definition
93931,Description,Task Unit
93932,Try Statement,Catch Clause
93933,exclusive_or_expression_linha,exclusive_or_expression_linha
93934,H6,Inline
93935,Abstract Behavior,Behavior
93936,Entity,Object Property
93937,Link Parameter,Attribute
93938,Unary Expression,Val
93939,Navigation,Full Navigator
93940,Feature,Class
93941,Equal Cond,Equational Cond
93942,Coding Task,Seq2
93943,Test197,Test196
93944,psychedelic rock,barber
93945,Thoughts,Base Workbench
93946,All_ Rel_3,Document
93947,Definition,Part
93948,Symbol,Var
93949,Add Element,Contract Elements
93950,Visitable,Cell
93951,form,wild licorice
93952,Numerical Property,Number Literal
93953,Informal_charts,Class_chart
93954,Minus,Binary Exp
93955,shift_expression,shift_expression_linha
93956,Connection Prototype,Colour
93957,Control Rule,Condition
93958,Required Interface,Interface
93959,Page Graphics,Page
93960,Variable,Proposition
93961,Process,Used Machines
93962,Model,mtype
93963,Person,Transaction
93964,Atom,Document
93965,Thead,Cellhalign
93966,Trigger,Variable
93967,Function Specification,Control
93968,Aportante,Empresa
93969,Graph,Typed Element
93970,description,binding
93971,Argument Reasoning,Asserted Inference
93972,File,User
93973,Author,Name
93974,Event,Dgs
93975,Cable,Device
93976,Constraint,Action Class
93977,Function Pars,Function Par
93978,Field,My Table
93979,Product,Feature
93980,Port Type,Port In
93981,Model,Intention
93982,Sequence Inst,Process Instance
93983,Arithmetic Expression,Add Expression
93984,Discrete,Range
93985,Named Element,Giunto
93986,System_ Output,Call Function
93987,Named Element,System
93988,league,scheme
93989,Outsourced Component,Component
93990,Section,Link
93991,Imp Menu,Menu
93992,Ce,Attributes
93993,Compound Task,Workflow Node
93994,note,Base Error
93995,Professor,Research Group
93996,Capability,Base Capability
93997,Process,Basic Statement
93998,Individual Realization,Individual Instance
93999,Size,Brick Element
94000,Spec1,component
94001,Prob Transition,Ptgt
94002,Proportion Negatif,Command Stat
94003,Seq Stmt,Attach Detach
94004,Num Rows,Table
94005,Base Controls,Value
94006,Permission,Oper Perm
94007,Application,Container
94008,Point1,Lat Degr
94009,Key,Table Element
94010,Event,Notification
94011,Machine,Final
94012,Service Specification,Service Interface
94013,Axis,Parent Axis
94014,Statement,Prerm Init
94015,Destination,User
94016,Single Quantity,Angle
94017,Relationship,Data Flow
94018,Square,Canvas
94019,Even Integrator,Posidonia System
94020,Proveedor,Servicio
94021,Boundary Event,Catch Event
94022,Variable,Equation
94023,Planned Schedule,Project
94024,Info,Command
94025,Model,Click
94026,Information System,Dependence
94027,Root Interface,Child3
94028,Package,Owned Element
94029,Communication,Channel Type
94030,Is Next,Has Next
94031,Range Definition,Theorem
94032,Base Hole,Width
94033,Trans,activity
94034,adult_female,individual
94035,Show,Episode
94036,Activity,user
94037,Invariant,Property
94038,Method,Message
94039,economic_value,amanita
94040,Token Locator,Information Type
94041,Literal Real,Literal Expression
94042,Node Label,Group Object
94043,Selenium Type,Verify
94044,Pump Controler,Pump
94045,Gen Eff,Model Fastfst
94046,Declaration,Attribute Declaration
94047,Binary Operator,Plus
94048,philosophy,parametric_quantity
94049,Ada Type,Stype
94050,Typed Elt,Document
94051,Field Value,Type
94052,eskimo,snobbery
94053,Meta,Product
94054,economic_value,patterned advance
94055,Text_ Output,Output
94056,Base Comma,Value
94057,Sequence Element,Literal Ref
94058,compound_stmt,if_stmt
94059,Mimic,Named Element
94060,Carousel Element,Carousel
94061,Named Individual,Same Individual
94062,Delete Assignment,Function Def
94063,Typedef Statement,Notification Substatement
94064,Definition,Definition Construct
94065,Subprograms,Data Abstractions
94066,Inclusion Call,Use Case
94067,Clazz,Heater
94068,Anotaciones,Base Atributo
94069,Function Definition,Parameters
94070,antitrade,individual
94071,Time,Method
94072,Materialization,Embedding
94073,Root,Nand
94074,Coordinates,Rectilinear Coordinates
94075,Named Element,Cube
94076,variable_quantity,gens
94077,Command,Command Block
94078,Identified Elt,Font Entry
94079,String Concept,Concept
94080,Command,Base Commands
94081,Variable,Expresion
94082,Visual Element,Image
94083,Name List,Element
94084,Multiple Op,Process Expression
94085,Application Type,Identifiable
94086,Guard Expression,Function
94087,Behavior,Entity
94088,Base Interface,Method
94089,Set Definition,Iteration
94090,Expression,Expression_ And
94091,Variable Declaration,Variable Assign
94092,Artifact,Code
94093,Point,Polygon
94094,Named Element,Slot
94095,Obstacle,Unit
94096,Cur Status,economic_value
94097,Call Proc,Expression
94098,Statement,Program Directive
94099,Static Page,web_page
94100,Transaccion,Actor
94101,Sensor Placement,Sensor Configuration
94102,Domain,Typed Element
94103,Business Process,Pool
94104,Signature,Sig Qual
94105,Admin,Book
94106,Class,Colorable Element
94107,user_interface,orchestration
94108,Bundle,Abstract Element
94109,Item,Insurance
94110,Business Document,Document Envelope
94111,Method,Method Body
94112,Node,Deployment
94113,woodbury,beginning
94114,Test78,Test77
94115,Architectural Construct,Pattern
94116,whole caboodle,direction
94117,Component Instance,Interface
94118,Single Value,Event Value
94119,Transition,Action
94120,Event,Route
94121,Script,Named Element
94122,Test385,Test384
94123,User Element,File Name
94124,Message Concept,Message Element
94125,Entities,Model
94126,Simulation Experiment,Point
94127,Task,Sink
94128,Output Action,Port
94129,Italic,Text Type
94130,Switch,Router
94131,agentproperty,agentproperties
94132,Query,Additive Inverse
94133,Website,Page
94134,Edge List,Edge
94135,Letra,Vista
94136,Named Element,Command
94137,Named Element,Function Call
94138,artifactcommit,Collaboration
94139,Project,Release
94140,Abstract State,Start State
94141,Stage,Display
94142,Sede,Empleado
94143,Goof,Test
94144,Selection Convergence,Identifyable Element
94145,Call,If
94146,Raw,Long Raw
94147,Sensor,Named Element
94148,Task,Pipeline
94149,Type Command,Command
94150,Execute,Function
94151,Abstract Element,System Declaration
94152,Application Element,Application Interface
94153,Message,Message End
94154,Functions,Create Table
94155,Stock,Product
94156,Exit Point,Success Point
94157,detail,discharge
94158,Test Case,Element
94159,Statement,Postinst Init
94160,Value Notations,Value Notations
94161,Chat Model,Var Def
94162,Coordinates,Absolute Coord
94163,Additive Expression,Additive Expression
94164,Dia Elements,Dia
94165,Event,Conditional Event
94166,Table,Check Con
94167,gens,Base Bundle
94168,Operation,Implementation
94169,Name,Base Variable
94170,Base Model,Attribute
94171,Type Dependency,Type
94172,Base Ingredients,Ingredient
94173,Processeable,Plugin
94174,Context,Helper
94175,Abstract Expression,Method Declaration
94176,App Instance,Application
94177,Button Event,Button
94178,Connectable,Person
94179,Org Unit,Package
94180,File Model,Emf Model
94181,Host,cod
94182,Activation,Referentiable
94183,Service_ Template,Node_template
94184,Tipo Dato,Estado
94185,Assert Contains,Assertable Element
94186,array,function_arguments
94187,Contact Method,Web Address
94188,Hours,Date
94189,If Exp,Ocl Expression
94190,Condicion,Expresion
94191,Product,Product
94192,Channel,Actor
94193,Einschraenkung,Benanntes
94194,Association Elements,Table
94195,Declaration,Operation Declaration
94196,Component,Capability
94197,Class,Class_ Indirectly
94198,Model,App Model
94199,nonpareil,Classifier
94200,Literal,Attribute Value
94201,Commande,Item
94202,economic_value,dinoflagellate
94203,Body,Clause
94204,Expression,Base Euler
94205,Ecran,Racine
94206,Interface Requise,Glue
94207,Group,Switch
94208,Concept Reference,Sub Expression
94209,Device,Program
94210,Core,Cache
94211,Formal Object,Domain Object
94212,Definition,Struct Forward
94213,Generic Role,Organization Object
94214,Event Source,Arbitrator
94215,Long Name,And Join
94216,virtq,virtq_avail
94217,Name Space,Classifier
94218,Attrs,Caption
94219,Project,Node
94220,Request,Normal Request
94221,Assertion,Eq Block
94222,Event Reference,Event
94223,League,Season
94224,Broker,Person
94225,Resource Container,Resource
94226,Structure,Named Reference
94227,Segnale Avvio,Ente Fisico
94228,Month,Base Day
94229,Scatter Chart,Chart
94230,Set,Rulebook
94231,Id Use,Type Use
94232,Familie,Kind
94233,Event,Meeting
94234,Coordinate,Offset
94235,Action,Addition
94236,Variable,Multiplicity Element
94237,Abstract Type,Feature
94238,Range Type,Data Type
94239,Quadro Luminoso,Regime
94240,Owner,Meta
94241,Xor,Message Component
94242,prociphilus,tobit
94243,Left,Addition
94244,Categories,Dish Category
94245,Expression,Variant Expression
94246,Rule,Model
94247,Calview,Widget
94248,Tisi2,Affectation
94249,Component Type,Base Value
94250,Inde Variable,mathematical_function
94251,Graphical Primitive,Line
94252,Skill,Employee Skill
94253,Enter Mode,Mode
94254,Typed Element,Type
94255,Model,Reference Attribute
94256,Add Author,Command
94257,Employee,German Employee
94258,Link,Literal
94259,Model Entity,Encoding
94260,Web Element,Tag
94261,Sql Type,Type
94262,Author Field,Author
94263,State Element,Component
94264,Bitshift Right,Bitshift Op
94265,Drone,Drone Type
94266,Entity Context,Context Situation
94267,Time,Unary Operator
94268,Measure,Action
94269,Evenement Instance,Event Instance
94270,Customer,Payment
94271,component,characteristic
94272,Member Function,Data Type
94273,Qualified Identifier,Expression
94274,Base Attributes,Attribute
94275,Bare Rule,Forward Rule
94276,Instances,Instance
94277,Configuration,Config Include
94278,Literal Expression,Literal Undef
94279,Model,Function Unit
94280,Block,Quantification Expression
94281,Pharmacy,Patient
94282,jar,province
94283,Variable Use,Member
94284,classicalism,vlf
94285,method_def,body
94286,Case,Statements
94287,String Action,String Variable
94288,bedding,salutation
94289,Abstract Element,Voice Tag
94290,Business Entity,Business Contact
94291,Attachment,Document Security
94292,Structure Node,Constructor Structure
94293,Person,Flight Object
94294,Doc Item,Paragraph
94295,practical_application,Named Element
94296,Container,Contained
94297,Message,Bank
94298,virtq_used,virtq
94299,Phase Transition,Conf Trans
94300,Question,Question Set
94301,Property Write,Variable
94302,Operand,Some Operand
94303,Publication,Manual
94304,Function Kind,Function
94305,Test,Azerty
94306,Identifyable Element,Activity
94307,course_of_study,economic_value
94308,Post Condition,Feature
94309,Last Name,pupil
94310,defense_intelligence_agency,Jueves
94311,Combo Box,Row
94312,Volgnummer,Value
94313,Data Object,Artifact
94314,Function Connection,Function
94315,Transformation,Named
94316,Servicio,Decoración
94317,Notify retailer,Notify
94318,Test Intention,Expression
94319,gens,Base Subsystem
94320,Exam,Evaluation
94321,Trigger Patterns,Wait
94322,Transformation,Input Model
94323,Application,Layer
94324,economic_value,program
94325,Ozobot,Ozobot Program
94326,Entry Point,Connection Point
94327,Procedure Name,Block Procedure
94328,String Parameter,Variable Call
94329,Region,Metro System
94330,Predicate,Comparison Predicate
94331,Named Element,Fun Program
94332,System_chart,Event_chart
94333,Operand Event,Event
94334,Cryptography,Calculus
94335,Start Symbols,Parser
94336,Array Type,Type Access
94337,ruleset,peson
94338,Flow Node,Node
94339,User,Social Network
94340,System Unit,Attribute
94341,Num Operator,Mul
94342,Rule,Effects
94343,Posao,Fakultet
94344,Aggregated Reference,Path
94345,Element,Newspaper
94346,Linear Activity,Named Activity
94347,Bot,Intent
94348,Object,User
94349,Annotation Assertion,Annotation Subject
94350,Eval,Expr
94351,Domain Constraint,Table Constraint
94352,Table,Trigger
94353,Datatype,Value
94354,Named Element,Flow
94355,Proccess Element,Activity
94356,Menuitem Box,Widget
94357,combustible_material,Idaho
94358,Discovery Service,Infrastructure Service
94359,Exchange Rate,Bitcoin Market
94360,Business Interface,Node Element
94361,Actor Real,Istar Diagram
94362,Transformation Model,Source
94363,Visibility Literal,Constructor Definition
94364,Concept B5,Concept A5
94365,Question,Question Valeur
94366,Restrictions,Value
94367,component,remark
94368,Piocher,Nombre_de_carte
94369,Substitution,Element
94370,Runningstatements,If Statement
94371,Different Individuals,Individual Reference
94372,Odometer Correction,Odometer
94373,Material,Color
94374,Selector,Key
94375,Dimension,Version Dimension
94376,Executable Node,Primitive Activity
94377,Feature Call,Function Declaration
94378,User,Mood
94379,Namespace Section,Output Namespace
94380,Response Time,Server
94381,Dsl Entity,Dsl Entity
94382,Multiply,Add
94383,Delete Surface,Condition Instalment
94384,Abstract Activity,Layout
94385,Transition,External Transition
94386,major suit,specializer
94387,Base Model,variable_quantity
94388,Assignment,Abstract Expression
94389,Tank,Level Regulation
94390,Output Property,Response Property
94391,Type,None Literal
94392,System,Transition
94393,Base Program,Declaration
94394,Node,Connector
94395,Declaration,Local Function
94396,Model,Association
94397,Required Interface,Language Concern
94398,Aop Aspect,Declare Parents
94399,Text View,Char Sequence
94400,Categorie,Icon
94401,Parameter Set,case
94402,Application,Compilation Unit
94403,Potential Impact,Assessment
94404,Array Ref,Ref
94405,Edge Targets,Edge Statement
94406,Stepdefn,Messagetransfer
94407,Paths,Vendor Extension
94408,Paragraph,Body Contents
94409,Or Refinement,Refinement
94410,Atributo Simple,Atributo
94411,Calculation Template,Formula
94412,Prototype,Data
94413,Variable,Entidad
94414,Loans,Library
94415,Terreno,Finca
94416,Name,Link
94417,Noun Concept,Contextualized Concept
94418,Container3,Abstract Container
94419,Product,Process Step
94420,Resource,parameter
94421,Interface,Signal
94422,General Resource,Passive Resource
94423,Blocktext,Button Content
94424,Transformation,File
94425,variable_quantity,primitive_person
94426,Line,Call
94427,Responsible Person,Person
94428,section,companionship
94429,suitcase,city_block
94430,Different,Node Pattern
94431,Support Request,Request
94432,Destination,Route
94433,Type Exp,Expression
94434,Proceedings,Person
94435,Type,Property
94436,Ty Vars,Ty Vars
94437,social phobia,Exp Op
94438,Clazoc,Thing
94439,Word,Designation
94440,Expr,While Stmt
94441,If,Elseifqueue
94442,Tag Definition,Stereotype
94443,Cell Format,Has Id
94444,De Variable,Function
94445,Process,Instruction
94446,Set,Set Clause
94447,Actor,Step
94448,Question,Questions
94449,Named Object,Type
94450,Horario,Aula Horario
94451,Sized Element,Field Object
94452,Static Attribute,Typed
94453,Purchase,Purchase Line
94454,Group,Artifact
94455,Fact,Not Fact
94456,Ends,Score Effect
94457,Literal Expression,Literal Regex
94458,Requirement,Section
94459,Component,Message Port
94460,Temp,Dimension Expression
94461,Generic Component,Button Component
94462,Ling Type,Type
94463,Player Armor,Equipment Object
94464,Term,Extended Term
94465,Constant,Data Declaration
94466,Time Expression,Observation
94467,Int Expr,Value
94468,c3_1,c2_1
94469,Choice,Choice Fork
94470,Predicate Object,Obj
94471,Bicycle,Part
94472,Edge,Neighbor
94473,Text,Graphical View
94474,Composition Statement,Condition
94475,test,Goto
94476,System,Data Type
94477,Rule,Dependency
94478,model,Annotation
94479,Script,Epsilon Script
94480,Product,Issue Tracker
94481,economic_value,verbal_description
94482,Clone Unit,Located Element
94483,economic_value,Geometry
94484,Named,Column
94485,Unequal,Expression
94486,Statement,Comment Statement
94487,classified stock,Primary Key
94488,Recette,Ingredients
94489,Rotate,activity
94490,Property,Line Chart
94491,Visual Diagnostic,Named Element
94492,Scenario,Then Statements
94493,Row,Section Element
94494,Test Case,Test Procedure
94495,conger,anticyclone
94496,Modify Property,Extension
94497,bazillion,character
94498,big shot,restorative
94499,Freccia Evidenziatrice,Abstract Element
94500,Projection,Semantic Formulation
94501,Node Layout,Bounds
94502,Type Def,Record Type
94503,Ensemble,Shape
94504,Address,City
94505,Container,State
94506,Scenario,Test Result
94507,Element,Parameter Set
94508,C2-1,C2-1-1
94509,Edge,Net
94510,Geom,Spline Start
94511,Rule Set,Rule File
94512,Named Definition,Unbounded String
94513,Organization,System
94514,Connection Figure,Figure
94515,Bumper_ Pressionado,Condicao
94516,Primary Expr,Literal
94517,spec,vector_decomposition
94518,Property,Unique Rule
94519,Position,Publication Structure
94520,Instruction,Rebotinol Program
94521,Expression,Steps
94522,Anynext,Assertion
94523,Module,Enseignement
94524,scheme,twiddler
94525,Accion,Accion Pulsacion
94526,Document Field,State Machine
94527,Newspaper,Category
94528,Memory,Resource
94529,Column Comment,Comment
94530,Corps,Section
94531,Argument,Mitigates
94532,Exponential Measure,Composite Measure
94533,Transactions,Section
94534,Reponse Texte,Reponse
94535,property,straightforwardness
94536,Memory Container,Rec Mem
94537,Division Element,Paragraf
94538,Class,Located Element
94539,Item,Working Set
94540,User,Wiki Content
94541,Unary Expression,Integer Expression
94542,Arithmetic Variable,Variable
94543,Fact,Paragraph
94544,Description,Items
94545,Init Single,Param
94546,Variable,Process Definition
94547,To Target,Transformer
94548,Anonymous Definition,Content
94549,Comando,Declaracao
94550,gl_tran,population
94551,I1_ J1,J2
94552,Conditional,Value
94553,Constraint,Relationship
94554,mal rosso,economic_value
94555,Critop,Crit Decl
94556,Object,Label
94557,Named Element,Template Role
94558,Address,Branch
94559,Edge Graphics,Line
94560,Referred To,Referrer
94561,Team,Forward
94562,Product,Part
94563,Value,Target Label
94564,Described Class,System
94565,Port Mapping,Port
94566,Group,Topology Template
94567,Segmento,Canal
94568,anchorite,program
94569,Package,Package Access
94570,Kind,Extensible Element
94571,Channel Groups,Channel Group
94572,Data,Value Type
94573,Void,Value
94574,Ref,Array Size
94575,Trg Statement,Trg Rule
94576,Property File,Property Holder
94577,Feature Modell,Calculations
94578,Idaho,Base Employee
94579,Element,Interface Output
94580,Expression,Sub Expression
94581,Hauptlichtsignal,Ausfahrsignal
94582,min,introduction
94583,Extend Interface,Link
94584,Universe,Dinner
94585,Architecture Description,Architecture Rationale
94586,Model,Cloneable
94587,Succesor,Relation
94588,Access Group,Enrollment
94589,way,military intelligence
94590,Module Instances,Named Element
